Degree,Specialization,CGPA,JobRole
B.Tech,Computer Science,8.5,Software Developer
B.Tech,Information Technology,7.8,Web Developer
B.Tech,Electronics Engineering,8.2,Embedded Systems Engineer
B.Tech,Mechanical Engineering,7.5,Mechanical Design Engineer
B.Tech,Civil Engineering,8.0,Civil Engineer
B.Tech,Artificial Intelligence,9.2,Data Scientist
B.Tech,Data Science,8.8,ML Engineer
B.Tech,Computer Science,7.2,Software Tester
B.Tech,Information Technology,6.8,IT Support Engineer
B.Tech,Electronics Engineering,8.9,VLSI Design Engineer
B.Sc,Computer Science,8.1,System Analyst
B.Sc,Information Technology,7.6,Network Administrator
B.Sc,Mathematics,8.3,Data Analyst
B.Sc,Physics,7.9,Research Assistant
B.Sc,Chemistry,8.4,Lab Technician
B.Com,Accounting,8.0,Accountant
B.Com,Finance,8.7,Financial Analyst
BBA,Marketing,7.7,Marketing Executive
BBA,HR,8.2,HR Manager
BBA,Finance,9.1,Business Analyst
M.Tech,Computer Science,9.0,Senior Software Engineer
M.Tech,Artificial Intelligence,9.3,Senior Data Scientist
M.Tech,VLSI Design,8.6,Senior VLSI Engineer
MBA,Finance,8.8,Finance Manager
MBA,Marketing,8.5,Marketing Manager
MBA,HR,8.9,HR Director
B.Tech,Computer Science,6.9,Junior Developer
B.Tech,Information Technology,7.3,Frontend Developer
B.Tech,Mechanical Engineering,7.8,Manufacturing Engineer
B.Tech,Civil Engineering,8.5,Structural Engineer
B.Sc,Computer Science,7.4,Database Administrator
